city_name,normalized_city_name,city_query,catalog_url,option_id,option_label
Almaty,almaty,"Almaty, Kazakhstan",https://stat.gov.kz/ru/region/almaty/spreadsheets/,292564,Численность населения в разрезе районов
Almaty,almaty,"Almaty, Kazakhstan",https://stat.gov.kz/ru/region/almaty/spreadsheets/,182275,Численность населения города Алматы в разрезе районов
Almaty,almaty,"Almaty, Kazakhstan",https://stat.gov.kz/ru/region/almaty/spreadsheets/,183014,Численность населения города Алматы по полу в разрезе районов
Astana,astana,"Astana, Kazakhstan",https://stat.gov.kz/ru/region/astana/spreadsheets/,292561,Об изменении численности населения в разрезе районов
Astana,astana,"Astana, Kazakhstan",https://stat.gov.kz/ru/region/astana/spreadsheets/,268869,Об уточненной численности населения в разрезе районов
Astana,astana,"Astana, Kazakhstan",https://stat.gov.kz/ru/region/astana/spreadsheets/,292564,Численность населения в разрезе районов
Astana,astana,"Astana, Kazakhstan",https://stat.gov.kz/ru/region/astana/spreadsheets/,292565,Численность населения по полу в разрезе районов
Astana,astana,"Astana, Kazakhstan",https://stat.gov.kz/ru/region/astana/spreadsheets/,292566,Численность населения по районам
Shymkent,shymkent,"Shymkent, Kazakhstan",https://stat.gov.kz/ru/region/shymkent/spreadsheets/,113996,Об изменении численности населения г. Шымкент в разрезе районов
Shymkent,shymkent,"Shymkent, Kazakhstan",https://stat.gov.kz/ru/region/shymkent/spreadsheets/,292564,Численность населения в разрезе районов
Shymkent,shymkent,"Shymkent, Kazakhstan",https://stat.gov.kz/ru/region/shymkent/spreadsheets/,113999,Численность населения города Шымкент в разрезе районов
Shymkent,shymkent,"Shymkent, Kazakhstan",https://stat.gov.kz/ru/region/shymkent/spreadsheets/,113997,Численность населения города Шымкент по полу в разрезе районов
Shymkent,shymkent,"Shymkent, Kazakhstan",https://stat.gov.kz/ru/region/shymkent/spreadsheets/,113998,Численность населения города Шымкент по районам
