claim,source_document,evidence_supporting_claim,allowed_wording,forbidden_wording,manuscript_location
City1 constructs a calibrated proxy population surface,manuscript_package_v2,"Table 3, Table 4, Table 6, Figure 2-5","calibrated proxy population surface; officially calibrated proxy surface","true population reconstruction; ground-truth cell-level validation","sections/01_introduction.tex; sections/04_deterministic_proxy_surface_method.tex; sections/12_conclusion.tex"
Official-total calibration ensures city-level consistency,manuscript_package_v2,"method equation; deterministic results and study design","city-level consistency; official-total calibration anchor","calibration converts output into census truth","sections/03_study_design_and_data.tex; sections/04_deterministic_proxy_surface_method.tex"
External products support structural plausibility,manuscript_package_v2,"Table 5; Figure 4","structural comparison context; external structural plausibility","external products prove correctness; external products are ground truth","sections/06_unified_validation_framework.tex; sections/07_results_deterministic_surface_credibility.tex"
District evidence is partial after aggregation,manuscript_package_v2 and manuscript_package_v3,"Table 4; Table 13; Phase 6 report","partial administrative support after aggregation","district validation proves cell accuracy; district interval validation is solved","sections/06_unified_validation_framework.tex; sections/07_results_deterministic_surface_credibility.tex; sections/08_results_reliability_uncertainty_hotspots.tex; sections/10_limitations.tex"
City1 adds uncertainty-aware interpretation,manuscript_package_v3,"Table 7-12; Figure 6-10; Phase 6 report","uncertainty-aware interpretation layer; reliability-aware interpretation","true census uncertainty model; uncertainty fully validated","sections/01_introduction.tex; sections/05_uncertainty_aware_extension.tex; sections/12_conclusion.tex"
P10/P50/P90 are proxy uncertainty intervals,manuscript_package_v3,"uncertainty framework equations; Table 9; Figure 9","proxy uncertainty intervals; bounded interval outputs","true census uncertainty intervals","sections/05_uncertainty_aware_extension.tex; sections/10_limitations.tex"
confidence_score is not a probability,manuscript_package_v3,"confidence formula; Table 11; claims_not_allowed.md","interpretation-confidence score; confidence bands","probability of correctness; truth probability","sections/05_uncertainty_aware_extension.tex; sections/08_results_reliability_uncertainty_hotspots.tex; sections/10_limitations.tex"
Hotspot classes support screening reliability,manuscript_package_v3,"Table 8; Table 12; Figure 8; Figure 10","screening categories; hotspot prioritization; screening reliability","verified population-hotspot truth","sections/05_uncertainty_aware_extension.tex; sections/08_results_reliability_uncertainty_hotspots.tex; sections/09_integrated_discussion.tex"
Future tool-grounded LLM layer is not part of current results,new_unified_package,"discussion bridge only","future tool-grounded interpretation layer; future work only","completed LLM method; evaluated LLM layer","sections/09_integrated_discussion.tex"

